dlvry_id,전체배차시간,outcome,y_pred,KMeansCluster
20230822_3561PFNZ,8.0,1,0.08072663658874953,9
20230825_4404SMBE,0.75,0,0.043961700538555144,5
20230823_0365XUHR,3.63333333,0,0.08716201851147212,9
20230901_5143VCEC,0.48333333,0,0.05997620258220324,5
20230903_0867KHNV,1.66666667,0,0.036754365915241706,2
20230828_3639TSWX,0.45,0,0.11791012434326661,0
20230826_5156HKWB,0.58333333,0,0.040668146572343446,5
20230825_6711RTKD,2.41666667,0,0.1304821318606581,0
20230829_6607CNPH,0.55,0,0.023471475539667885,2
20230825_0285FFDV,1.43333333,0,0.027098005491044033,2
20230830_3395ERRJ,4.16666667,0,0.1465654944952244,0
20230828_4419PWJZ,2.43333333,0,0.24801131939529708,7
20230823_9946PURT,1.18333333,0,0.0178514109111438,2
20230824_9855PMPE,1.65,0,0.15067346580109592,0
20230821_0156DBRF,7.26666667,1,0.16191114273021393,4
20230823_1367BBVV,1.28333333,0,0.02197063406299727,2
20230829_8905FMBF,5.05,0,0.12609968238661298,0
20230902_1399CERC,0.5,0,0.01654768742693654,2
20230829_2851TWHQ,0.46666667,0,0.06630531085279162,5
20230827_3772KWHJ,0.95,0,0.05901024992331839,5
20230828_6624LIXF,0.38333333,0,0.01588116892256899,2
20230826_1290ERNV,1.96666667,0,0.0289749819571322,2
20230826_8638UKAK,0.5,0,0.03168505535807082,2
20230823_6151NLMS,0.88333333,0,0.1062989751794716,0
20230826_0809PZPL,0.65,0,0.04014809831658979,5
20230827_1381VJPP,3.71666667,0,0.2430451311018166,7
20230822_5997AKLY,4.76666667,0,0.0465215544203099,5
20230829_4012TIAJ,0.46666667,0,0.04276837596268029,5
20230829_1283NHDR,5.35,1,0.060812952951633074,5
20230829_8741UWPI,7.55,1,0.17453952090586172,4
20230825_5108SPND,2.45,0,0.03298676374118602,2
20230825_2716ZWLH,24.53333333,1,0.0691145216906501,9
20230830_4900RUUX,4.88333333,0,0.071572262611183,9
20230903_3508BAYK,5.08333333,1,0.025399029880020553,2
20230822_5723TZSY,2.43333333,0,0.046577252049002565,5
20230902_4998XABU,0.45,0,0.06556993863538893,5
20230826_8341TXNJ,0.8,0,0.08656170186356181,9
20230825_6338IIMF,2.35,0,0.35891444315517684,1
20230824_4644BDJX,0.51666667,0,0.03223440555965,2
20230821_8857AMNB,0.43333333,0,0.05286699448151291,5
20230823_3850BDPD,19.7,1,0.14845050495308112,0
20230821_9381ZLIK,0.48333333,0,0.020499757939667042,2
20230827_0680JZWD,0.43333333,0,0.04998374017596409,5
20230821_3132EABS,0.61666667,0,0.03405290917024002,2
20230823_4943LEUB,0.26666667,0,0.0844293652578585,9
20230827_0953RCBM,0.68333333,0,0.025145407170132875,2
20230821_8418KDXP,0.38333333,0,0.03584240255762568,2
20230903_2143FLAK,6.93333333,1,0.03283495859159394,2
20230824_5856HTWH,0.71666667,0,0.025463045713543325,2
20230821_0056ZDQZ,1.01666667,0,0.04181377921172263,5
20230826_6009JBZZ,2.55,0,0.11913600815340708,0
20230821_0532FNCH,0.45,0,0.05019010842363483,5
20230823_6365TNNX,0.43333333,0,0.03384282603981986,2
20230830_1433FTIU,11.75,1,0.2007777203153198,4
20230824_1200MQTA,0.65,0,0.03364356304115127,2
20230903_6385TBPZ,1.2,0,0.01955215011893222,2
20230903_4534CAXH,2.56666667,0,0.05998138958470037,5
20230825_6608WBLV,1.01666667,0,0.013723243422650066,2
20230827_6136PVIB,0.71666667,0,0.06242358023088234,5
20230824_2008ETUR,4.51666667,0,0.13363494241287552,0
